"shop_id","shop_identifier","total_stock"
4,"hair-political","144"
10,"where-people-west","263"
6,"north-energy-easy","293"
14,"present-bit-drop","134"
13,"friend-over-reflect","116"
2,"line-strategy","252"
16,"gas-forget-answer","332"
11,"often-lead-without","82"
7,"station-break","470"
9,"but-early-property","337"
15,"simple-through-goal","547"
12,"contain-manager","209"
19,"fire-nation-appear","531"
3,"ready-imagine","171"
17,"cost-those-dream","579"
20,"mouth-kind-three","134"
1,"major-produce-get","163"
5,"tonight-but","361"
18,"staff-piece-good","18"
8,"network-word","184"
