"shop_id","shop_identifier","categories"
1,"major-produce-get","light"
2,"line-strategy","whole, my"
3,"ready-imagine","power, particularly, my"
4,"hair-political","my"
5,"tonight-but","bit, bit"
6,"north-energy-easy","whole, bit"
7,"station-break","my, whole"
8,"network-word","whole"
9,"but-early-property","note"
10,"where-people-west","bit"
11,"often-lead-without","teach, bit"
12,"contain-manager","light, my, bit"
13,"friend-over-reflect","note"
14,"present-bit-drop","teach, democratic"
15,"simple-through-goal","power"
16,"gas-forget-answer","bit, bit"
17,"cost-those-dream","bit, whole"
20,"mouth-kind-three","power"
