"shop_id","shop_identifier","product_id","title","price"
15,"simple-through-goal","P1000","Crime","462.53"
18,"staff-piece-good","P1004","Speak","108.21"
11,"often-lead-without","P1005","Share","186.27"
14,"present-bit-drop","P1006","Long","391.9"
10,"where-people-west","P1007","Course","488.99"
8,"network-word","P1007","Course","488.99"
2,"line-strategy","P1008","Rule","454.13"
9,"but-early-property","P1010","Rule","496.69"
17,"cost-those-dream","P1010","Rule","496.69"
19,"fire-nation-appear","P1011","Field","443"
13,"friend-over-reflect","P1016","Prevent","143.05"
3,"ready-imagine","P1017","World","278.98"
4,"hair-political","P1024","Them","430.14"
12,"contain-manager","P1026","Congress","440.27"
20,"mouth-kind-three","P1030","Type","461.57"
5,"tonight-but","P1039","Worry","335.88"
7,"station-break","P1042","Out","471.69"
6,"north-energy-easy","P1043","Well","346.4"
1,"major-produce-get","P1043","Well","346.4"
16,"gas-forget-answer","P1044","Local","222.55"
