"username","total_spent"
"burnsjessica","1896.43"
"bjohnson","1730.73"
"salazargregory","1716.1599999999999"
"egraham","1627.35"
"eriley","1585.35"
"leerobert","1378.59"
"angelasmith","1248.49"
"cnewton","1243.78"
"melissamitchell","1168.2"
"mgriffin","1142.42"
"tlong","1139.49"
"bpage","1085.45"
"brianna36","1032.76"
"vburns","1022.74"
"laura25","978.74"
"melissalester","969.25"
"friedmancindy","960.67"
"sbarnes","855.63"
"justin45","854.51"
"mendozaannette","849.41"
"doris44","822.05"
"zcrawford","814.23"
"vgreen","801.51"
"hhawkins","755.6700000000001"
"joseph57","732.26"
"danielle74","667.04"
"ariaskrystal","660.13"
"fordthomas","653.3"
"powersbryan","650.58"
"chelsea28","621.96"
"ogibbs","613.66"
"david65","603.74"
"staceyoneill","590.73"
"macdonaldallison","534.88"
"xcrane","531.04"
"trocha","528.15"
"sphillips","515.83"
"rojasstephanie","511.79"
"colton14","503.68"
"wallacejacob","495.22"
"caseykimberly","435.56"
"clopez","402.29"
"svalenzuela","321.25"
"jerry25","306.03"
"tammysmith","283.19"
"lucaschristine","283.11"
"john73","233.06"
"jonathanmorris","215.01"
"moonlisa","206.87"
"mnelson","93.2"
"jessewood","83.64"
"colemanbrittany","82.05"
"bauerchristopher","45.29"
"bsimmons","0"
"linjade","0"
"rangelamy","0"
"justin38","0"
"daniel74","0"
"christy48","0"
"daniel34","0"
"davenportjessica","0"
"croberts","0"
"dustinwilson","0"
"melissacoffey","0"
"erika75","0"
"brittany79","0"
"morrisonsara","0"
"elizabethperry","0"
"grantjames","0"
"matthewpearson","0"
"claudia27","0"
"tjohnson","0"
"ugonzalez","0"
"richardsjanet","0"
"melindajackson","0"
"melissamorris","0"
"ggutierrez","0"
"deborahgalloway","0"
"cookecolin","0"
"speterson","0"
"ccalhoun","0"
"snyderalexa","0"
"bensondavid","0"
"qrodriguez","0"
"leahandrade","0"
"wsutton","0"
"ipatrick","0"
"william68","0"
"travis30","0"
"wbaker","0"
"hughesashley","0"
"sheamonica","0"
"robertsjulia","0"
"teresa90","0"
"roneill","0"
"twilson","0"
"arobinson","0"
"derek75","0"
"patrickharvey","0"
"staceymiller","0"
