"user_username","order_id","registration_time","product_title","quantity","total_price"
"angelasmith",32,"2025-04-23 00:09:48.757553","Whose",3,"979.4100000000001"
"angelasmith",32,"2025-04-23 00:09:48.757553","Allow",2,"388.6"
"ariaskrystal",52,"2025-01-12 04:30:24.700257","Sometimes",2,"26.32"
"bjohnson",77,"2025-03-30 04:24:07.537931","Require",1,"223.13"
"bjohnson",77,"2025-03-30 04:24:07.537931","Long",1,"391.9"
"bpage",33,"2025-03-03 09:07:42.363684","World",3,"836.94"
"bpage",33,"2025-03-03 09:07:42.363684","Allow",3,"582.9000000000001"
"bpage",33,"2025-03-03 09:07:42.363684","Analysis",5,"1429.5"
"brianna36",21,"2025-01-01 20:51:06.660718","Course",1,"488.99"
"brianna36",61,"2025-03-26 12:40:19.190234","Require",2,"446.26"
"burnsjessica",4,"2025-01-25 22:52:37.283662","Shake",3,"1036.83"
"burnsjessica",4,"2025-01-25 22:52:37.283662","Middle",4,"1589.64"
"burnsjessica",4,"2025-01-25 22:52:37.283662","Hour",2,"527.18"
"burnsjessica",26,"2025-02-10 12:48:11.38261","Well",5,"1732"
"burnsjessica",5,"2025-02-23 16:09:29.58944","Well",4,"1385.6"
"burnsjessica",5,"2025-02-23 16:09:29.58944","Middle",2,"794.82"
"burnsjessica",5,"2025-02-23 16:09:29.58944","Goal",2,"446.9"
"caseykimberly",53,"2025-04-16 05:03:33.305918","Analysis",5,"1429.5"
"caseykimberly",53,"2025-04-16 05:03:33.305918","Worry",1,"335.88"
"clopez",37,"2025-03-24 22:02:07.938713","Speak",1,"108.21"
"clopez",37,"2025-03-24 22:02:07.938713","Shake",2,"691.22"
"clopez",37,"2025-03-24 22:02:07.938713","Popular",4,"899.36"
"clopez",29,"2025-04-21 15:55:30.574842","Local",5,"1112.75"
"cnewton",6,"2025-03-12 02:21:24.473455","Shake",5,"1728.0500000000002"
"cnewton",6,"2025-03-12 02:21:24.473455","Local",5,"1112.75"
"cnewton",12,"2025-04-04 10:35:25.965761","Long",1,"391.9"
"colemanbrittany",62,"2025-02-04 12:33:28.598726","Rule",4,"1816.52"
"colemanbrittany",62,"2025-02-04 12:33:28.598726","Know",4,"1102.72"
"colton14",47,"2025-01-17 14:12:39.815567","Dream",3,"267.29999999999995"
"colton14",47,"2025-01-17 14:12:39.815567","Improve",4,"635.48"
"danielle74",70,"2025-02-16 10:22:03.631999","Speak",3,"324.63"
