"user_username","avg_payment"
"hhawkins","377.83500000000004"
"john73","233.06"
"jonathanmorris","215.01"
"tammysmith","141.595"
"mendozaannette","849.41"
"bauerchristopher","45.29"
"colton14","503.68"
"ogibbs","613.66"
"trocha","528.15"
"sbarnes","855.63"
"macdonaldallison","534.88"
"jerry25","306.03"
"lucaschristine","141.555"
"ariaskrystal","660.13"
"eriley","792.675"
"angelasmith","624.245"
"cnewton","621.89"
"bpage","542.725"
"svalenzuela","321.25"
"fordthomas","653.3"
"joseph57","732.26"
"chelsea28","621.96"
"wallacejacob","495.22"
"mgriffin","571.21"
"bjohnson","576.91"
"vgreen","801.51"
"salazargregory","858.0799999999999"
"burnsjessica","632.1433333333333"
"sphillips","257.915"
"egraham","813.675"
"colemanbrittany","82.05"
"doris44","822.05"
"tlong","569.745"
"justin45","854.51"
"danielle74","333.52"
"melissamitchell","584.1"
"powersbryan","650.58"
"vburns","511.37"
"friedmancindy","480.335"
"laura25","978.74"
"melissalester","323.0833333333333"
"caseykimberly","435.56"
"moonlisa","206.87"
"david65","301.87"
"zcrawford","814.23"
"staceyoneill","590.73"
"rojasstephanie","255.895"
"leerobert","689.295"
"xcrane","531.04"
"mnelson","93.2"
"brianna36","516.38"
"jessewood","83.64"
"clopez","201.145"
